InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,CustomerName,Email,Address,PhoneNumber,Category,Supplier,StockLevel,Discount,SaleChannel,ReturnStatus,ProductWeight,ProductDimensions,ShippingCost,SalesRegion,PromotionCode,PaymentMethod,FrequentCustomer,FrequentCountry,FrequentEmail,FrequentPhone
536369,21756,DOORMAT NEW ENGLAND,10,12/01/2010 08:36,7.95,12217,Denmark,Bob Davis,bob.davis@demo.net,709 Pine St,555-623-6390,Home & Garden,Supplier A,15,24.43,In-Store,Returned,9.51,27x46x50 cm,6.92,North America,SALE15,Bank Transfer,Bob Davis,Germany,bob.davis@demo.net,555-111-2560
536464,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 10:34,2.55,12217,Germany,Bob Davis,bob.davis@example.com,547 Main St,555-111-2560,Home & Garden,Supplier A,836,44.3,In-Store,Returned,3.3,31x24x99 cm,5.27,Australia,PROMO10,Gift Card,Bob Davis,Germany,bob.davis@demo.net,555-111-2560
536564,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 12:14,2.55,12217,United Kingdom,Bob Davis,bob.davis@demo.net,256 Oak St,555-645-5346,Home & Garden,Supplier A,195,10.5,In-Store,Returned,3.3,31x24x99 cm,5.27,Australia,PROMO10,PayPal,Bob Davis,Germany,bob.davis@demo.net,555-111-2560
536579,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/01/2010 12:29,4.95,13197,United Kingdom,Eva Johnson,eva.johnson@mail.com,883 Elm St,555-835-3768,Toys,Supplier B,346,35.8,Online,Returned,7.74,93x22x68 cm,7.71,South America,SALE15,Bank Transfer,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536409,22384,PACK OF 6 SMALL FRUIT STRAWS,15,12/01/2010 09:39,1.25,13197,Germany,Charlie Brown,charlie.brown@demo.net,921 Cedar St,555-404-2895,Home & Garden,Supplier A,233,4.14,In-Store,Not Returned,0.93,82x95x38 cm,16.71,Australia,DISCOUNT5,Bank Transfer,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536493,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/01/2010 11:03,1.65,13197,Germany,Bob Johnson,bob.johnson@test.org,594 Market St,555-341-9032,Home & Garden,Supplier A,4,14.87,In-Store,Returned,1.0,95x49x69 cm,7.55,Asia,SALE15,Gift Card,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536527,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/01/2010 11:37,2.75,13197,Germany,Bob Johnson,bob.johnson@example.com,594 Market St,555-423-2040,Home & Garden,Supplier A,732,1.7,In-Store,Not Returned,0.24,25x13x82 cm,7.94,Asia,SALE15,PayPal,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536409,22384,PACK OF 6 SMALL FRUIT STRAWS,15,12/01/2010 09:39,1.25,13197,Denmark,Bob Johnson,bob.johnson@example.com,547 Main St,555-323-2435,Home & Garden,Supplier A,755,34.02,In-Store,Not Returned,0.93,82x95x38 cm,16.71,Australia,DISCOUNT5,Bank Transfer,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536512,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/01/2010 11:22,2.95,13197,Denmark,Bob Johnson,bob.johnson@example.com,547 Main St,555-623-6390,Clothing,Supplier C,448,25.37,In-Store,Returned,1.31,45x17x26 cm,6.22,Australia,PROMO10,Bank Transfer,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536572,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 12:22,1.85,13197,Denmark,Bob Johnson,bob.johnson@test.org,709 Pine St,555-626-2980,Clothing,Supplier C,319,10.91,In-Store,Returned,3.91,20x86x92 cm,5.5,South America,DISCOUNT5,PayPal,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536666,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/01/2010 13:56,2.75,13197,Germany,Bob Johnson,bob.johnson@demo.net,390 Broadway,555-244-8705,Home & Garden,Supplier A,277,13.61,Online,Not Returned,0.24,25x13x82 cm,7.94,North America,SALE15,Cash,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536579,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/01/2010 12:29,495.0,13197,Germany,Bob Johnson,bob.johnson@example.com,921 Cedar St,555-906-8486,Toys,Supplier B,145,45.72,In-Store,Returned,7.74,93x22x68 cm,7.71,South America,SALE15,Bank Transfer,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536652,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 13:42,2.55,13197,United Kingdom,Bob Johnson,bob.johnson@test.org,815 Maple St,555-246-4124,Home & Garden,Supplier A,441,27.06,Online,Returned,3.3,31x24x99 cm,5.27,North America,PROMO10,PayPal,Bob Johnson,Germany,bob.johnson@example.com,555-244-8705
536689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 14:19,2.55,12179,United Kingdom,Bob Jones,bob.jones@example.com,921 Cedar St,555-785-4633,Home & Garden,Supplier A,474,31.21,In-Store,Not Returned,3.3,31x24x99 cm,5.27,Europe,PROMO10,Bank Transfer,Bob Jones,United Kingdom,bob.jones@example.com,555-785-4633
536432,21756,DOORMAT NEW ENGLAND,10,12/01/2010 10:02,7.95,12179,United Kingdom,Bob Jones,bob.jones@example.com,390 Broadway,555-881-5430,Home & Garden,Supplier A,466,27.98,In-Store,Returned,9.51,27x46x50 cm,6.92,Europe,SALE15,Bank Transfer,Bob Jones,United Kingdom,bob.jones@example.com,555-785-4633
536626,71053,WHITE METAL LANTERN,6,12/01/2010 13:16,,12800,Denmark,Bob Miller,bob.miller@mail.com,815 Maple St,555-643-7154,Home & Garden,Supplier A,321,33.98,In-Store,Returned,6.36,77x81x40 cm,5.11,South America,DISCOUNT5,Bank Transfer,Bob Miller,Denmark,bob.miller@example.com,555-111-2341
536525,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 11:35,2.55,12800,Denmark,Bob Miller,bob.miller@example.com,815 Maple St,555-323-2435,Home & Garden,Supplier A,104,7.93,In-Store,Returned,3.3,31x24x99 cm,5.27,Asia,PROMO10,Credit Card,Bob Miller,Denmark,bob.miller@example.com,555-111-2341
536626,71053,WHITE METAL LANTERN,6,12/01/2010 13:16,3.39,12800,Denmark,David Moore,david.moore@mail.com,594 Market St,555-990-1951,Home & Garden,Supplier A,851,40.48,In-Store,Returned,6.36,77x81x40 cm,5.11,South America,DISCOUNT5,Bank Transfer,Bob Miller,Denmark,bob.miller@example.com,555-111-2341
536525,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/01/2010 11:34,2.95,12800,Denmark,David Jones,david.jones@mail.com,547 Main St,555-183-1207,Clothing,Supplier C,419,8.35,In-Store,Not Returned,1.31,45x17x26 cm,6.22,Asia,PROMO10,Credit Card,Bob Miller,Denmark,bob.miller@example.com,555-111-2341
536668,84029E,RED WOOLLY HOTTIE WHITE HEART,6,12/01/2010 13:58,339.0,12800,Germany,Bob Miller,bob.miller@example.com,256 Oak St,555-111-2341,Beauty,Supplier D,877,24.77,Online,Not Returned,6.41,5x33x65 cm,5.87,Australia,DISCOUNT5,Gift Card,Bob Miller,Denmark,bob.miller@example.com,555-111-2341
536615,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 13:05,1.85,12763,Germany,Bob Moore,bob.moore@example.com,921 Cedar St,555-443-2828,Clothing,Supplier C,320,17.54,Online,Not Returned,3.91,20x86x92 cm,5.5,Asia,DISCOUNT5,Gift Card,Bob Moore,Germany,bob.moore@demo.net,555-256-2098
536584,84988,SET 2 TEA TOWELS I LOVE LONDON,3,12/01/2010 12:34,4.95,12763,United Kingdom,Bob Moore,bob.moore@test.org,450 Ash St,555-901-6238,Home & Garden,Supplier A,747,7.04,In-Store,Returned,6.16,17x84x88 cm,8.52,North America,PROMO20,Gift Card,Bob Moore,Germany,bob.moore@demo.net,555-256-2098
536492,21914,BLUE HARMONICA IN BOX,12,12/01/2010 11:02,1.25,12763,Germany,Bob Moore,bob.moore@mail.com,594 Market St,555-927-2646,Toys,Supplier B,446,9.26,Online,Not Returned,5.08,92x41x64 cm,5.38,Australia,DISCOUNT5,Cash,Bob Moore,Germany,bob.moore@demo.net,555-256-2098
536617,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/01/2010 13:07,1.65,12763,Denmark,Bob Moore,bob.moore@demo.net,921 Cedar St,555-256-2098,Home & Garden,Supplier A,842,17.29,Online,Not Returned,1.0,95x49x69 cm,7.55,Europe,SALE15,Bank Transfer,Bob Moore,Germany,bob.moore@demo.net,555-256-2098
536630,22752,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 13:20,7.65,13093,Denmark,Charlie Brown,charlie.brown@example.com,594 Market St,555-456-2290,Toys,Supplier B,157,38.52,In-Store,Returned,1.25,9x48x72 cm,5.6,North America,PROMO10,Bank Transfer,Bob Smith,Denmark,bob.smith@test.org,555-256-2098
536630,22752,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 13:20,,13093,Germany,Bob Smith,bob.smith@test.org,883 Elm St,555-657-5225,Toys,Supplier B,673,21.07,Online,Returned,1.25,9x48x72 cm,5.6,North America,PROMO10,Bank Transfer,Bob Smith,Denmark,bob.smith@test.org,555-256-2098
536630,22752,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 13:20,7.65,13093,United Kingdom,Jane Brown,jane.brown@mail.com,815 Maple St,555-256-2098,Toys,Supplier B,121,4.97,Online,Not Returned,1.25,9x48x72 cm,5.6,North America,PROMO10,Bank Transfer,Bob Smith,Denmark,bob.smith@test.org,555-256-2098
536433,22111,SCANDINAVIAN REDS RIBBONS,10,12/01/2010 10:03,1.65,18850,Germany,Bob Taylor,bob.taylor@example.com,815 Maple St,555-813-7047,Home & Garden,Supplier A,654,49.9,Online,Returned,8.79,58x31x23 cm,5.62,North America,SALE15,Gift Card,Bob Taylor,Germany,bob.taylor@demo.net,555-475-3033
536577,22310,IVORY KNITTED MUG COSY,6,12/01/2010 12:27,1.65,18850,United Kingdom,Bob Taylor,bob.taylor@demo.net,253 High St,555-475-3033,Home & Garden,Supplier A,46,32.95,Online,Returned,3.46,38x51x63 cm,6.97,Australia,DISCOUNT5,Credit Card,Bob Taylor,Germany,bob.taylor@demo.net,555-475-3033
536403,84907B,PACK OF 12 RED RETROSPOT TISSUES,200,12/01/2010 09:33,85.0,18125,United Kingdom,Bob Williams,bob.williams@mail.com,256 Oak St,555-496-9684,Home & Garden,Supplier A,253,21.07,In-Store,Returned,8.97,6x66x84 cm,5.39,Australia,DISCOUNT5,Cash,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536454,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 10:24,1.85,18125,Denmark,Bob Williams,bob.williams@demo.net,450 Ash St,555-483-6757,Clothing,Supplier C,834,15.05,Online,Not Returned,3.91,20x86x92 cm,5.5,Australia,DISCOUNT5,Credit Card,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536403,84907B,PACK OF 12 RED RETROSPOT TISSUES,200,12/01/2010 09:33,85.0,18125,Denmark,David Taylor,david.taylor@demo.net,256 Oak St,555-895-5036,Home & Garden,Supplier A,216,1.23,In-Store,Not Returned,8.97,6x66x84 cm,5.39,Australia,DISCOUNT5,Cash,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536559,22112,CHOCOLATE HOT WATER BOTTLE,10,12/01/2010 12:09,3.39,18125,Germany,Bob Williams,bob.williams@test.org,883 Elm St,555-516-9927,Beauty,Supplier D,90,39.94,In-Store,Not Returned,0.4,1x3x77 cm,14.16,Asia,DISCOUNT5,PayPal,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536554,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 12:04,1.85,18125,United Kingdom,Bob Williams,bob.williams@demo.net,450 Ash St,555-411-6408,Clothing,Supplier C,28,20.47,Online,Returned,3.91,20x86x92 cm,5.5,Asia,DISCOUNT5,Gift Card,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536453,71053,WHITE METAL LANTERN,6,12/01/2010 10:23,3.39,18125,Denmark,Bob Williams,bob.williams@test.org,547 Main St,555-174-7981,Home & Garden,Supplier A,725,44.44,In-Store,Returned,6.36,77x81x40 cm,5.11,North America,DISCOUNT5,Gift Card,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536614,71053,WHITE METAL LANTERN,6,12/01/2010 13:04,3.39,18125,Denmark,Bob Williams,bob.williams@example.com,709 Pine St,555-978-4356,Home & Garden,Supplier A,606,49.56,Online,Not Returned,6.36,77x81x40 cm,5.11,Australia,DISCOUNT5,Cash,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536714,71053,WHITE METAL LANTERN,6,12/01/2010 14:44,3.39,18125,United Kingdom,Bob Williams,bob.williams@test.org,547 Main St,555-719-2274,Home & Garden,Supplier A,984,46.28,In-Store,Not Returned,6.36,77x81x40 cm,5.11,Asia,DISCOUNT5,Gift Card,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536405,84907A,PACK OF 12 PINK POLKADOT TISSUES,20,12/01/2010 09:35,85.0,18125,Denmark,Bob Williams,bob.williams@test.org,883 Elm St,555-531-9896,Home & Garden,Supplier A,15,14.35,Online,Not Returned,2.89,63x28x60 cm,19.88,Europe,PROMO10,Bank Transfer,Bob Williams,Denmark,bob.williams@test.org,555-174-7981
536426,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/01/2010 09:56,4.95,10492,Denmark,Bob Wilson,bob.wilson@demo.net,390 Broadway,555-912-2969,Toys,Supplier B,956,25.63,Online,Not Returned,7.74,93x22x68 cm,7.71,Asia,SALE15,Credit Card,Bob Wilson,Denmark,bob.wilson@demo.net,555-183-9442
536696,22112,CHOCOLATE HOT WATER BOTTLE,10,12/01/2010 14:26,3.39,10492,United Kingdom,Bob Wilson,bob.wilson@example.com,390 Broadway,555-645-5346,Beauty,Supplier D,994,28.81,Online,Returned,0.4,1x3x77 cm,14.16,South America,DISCOUNT5,PayPal,Bob Wilson,Denmark,bob.wilson@demo.net,555-183-9442
536556,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/01/2010 12:06,1.65,10492,Denmark,David Miller,david.miller@demo.net,921 Cedar St,555-183-9442,Home & Garden,Supplier A,696,16.18,In-Store,Not Returned,1.0,95x49x69 cm,7.55,Europe,SALE15,PayPal,Bob Wilson,Denmark,bob.wilson@demo.net,555-183-9442
536556,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/01/2010 12:06,1.65,10492,Denmark,Bob Wilson,bob.wilson@demo.net,815 Maple St,555-258-4223,Home & Garden,Supplier A,574,20.42,In-Store,Not Returned,1.0,95x49x69 cm,7.55,Europe,SALE15,PayPal,Bob Wilson,Denmark,bob.wilson@demo.net,555-183-9442
536408,22469,HEART OF WICKER LARGE,6,12/01/2010 09:38,2.95,11105,United Kingdom,Charlie Brown,charlie.brown@mail.com,594 Market St,555-709-7136,Home & Garden,Supplier A,214,12.16,Online,Not Returned,4.16,13x84x25 cm,14.85,Asia,PROMO10,Bank Transfer,Charlie Brown,United Kingdom,charlie.brown@mail.com,555-709-7136
536482,21755,LOVE BUILDING BLOCK WORD,3,12/01/2010 10:52,5.95,11813,Denmark,Charlie Davis,charlie.davis@example.com,450 Ash St,555-597-2500,Home & Garden,Supplier A,947,1.46,Online,Returned,8.46,70x88x33 cm,5.09,Asia,PROMO10,Bank Transfer,Charlie Davis,Denmark,charlie.davis@example.com,555-140-8184
536679,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/01/2010 14:09,4.95,11813,Denmark,Charlie Davis,charlie.davis@example.com,883 Elm St,555-806-1629,Toys,Supplier B,974,34.01,In-Store,Not Returned,7.74,93x22x68 cm,7.71,North America,SALE15,PayPal,Charlie Davis,Denmark,charlie.davis@example.com,555-140-8184
536542,21754,HOME BUILDING BLOCK WORD,3,12/01/2010 11:52,5.95,11813,Denmark,Charlie Davis,charlie.davis@mail.com,709 Pine St,555-140-8184,Home & Garden,Supplier A,157,5.35,Online,Not Returned,3.02,57x67x88 cm,7.51,North America,SALE15,Credit Card,Charlie Davis,Denmark,charlie.davis@example.com,555-140-8184
536482,21755,LOVE BUILDING BLOCK WORD,3,12/01/2010 10:52,5.95,11813,United Kingdom,John Wilson,john.wilson@mail.com,390 Broadway,555-458-5435,Home & Garden,Supplier A,573,14.66,In-Store,Not Returned,8.46,70x88x33 cm,5.09,Asia,PROMO10,Bank Transfer,Charlie Davis,Denmark,charlie.davis@example.com,555-140-8184
536462,21724,RED HARMONICA IN BOX,10,12/01/2010 10:32,1.25,12424,Germany,Charlie Johnson,charlie.johnson@mail.com,390 Broadway,555-924-1645,Toys,Supplier B,67,36.9,In-Store,Not Returned,9.06,2x88x72 cm,5.35,South America,PROMO10,Gift Card,Charlie Johnson,Germany,charlie.johnson@test.org,555-246-4124
536591,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 12:41,1.85,12424,Denmark,Charlie Johnson,charlie.johnson@demo.net,256 Oak St,555-880-8287,Clothing,Supplier C,118,2.29,Online,Not Returned,3.91,20x86x92 cm,5.5,North America,DISCOUNT5,Credit Card,Charlie Johnson,Germany,charlie.johnson@test.org,555-246-4124
536657,22960,JAM MAKING SET WITH JARS,6,12/01/2010 13:47,4.25,12424,Germany,Charlie Johnson,charlie.johnson@test.org,883 Elm St,555-246-4124,Home & Garden,Supplier A,690,11.94,Online,Not Returned,6.46,21x80x85 cm,5.15,Europe,PROMO10,Gift Card,Charlie Johnson,Germany,charlie.johnson@test.org,555-246-4124
536439,21914,BLUE HARMONICA IN BOX,12,12/01/2010 10:09,1.25,12424,United Kingdom,Charlie Johnson,charlie.johnson@test.org,883 Elm St,555-913-3032,Toys,Supplier B,797,25.94,In-Store,Not Returned,5.08,92x41x64 cm,5.38,Australia,DISCOUNT5,Credit Card,Charlie Johnson,Germany,charlie.johnson@test.org,555-246-4124
536644,21777,RECIPE BOX WITH METAL HEART,4,12/01/2010 13:34,795.0,12424,Germany,Charlie Johnson,charlie.johnson@example.com,253 High St,555-526-4249,Home & Garden,Supplier A,192,5.89,Online,Not Returned,2.5,51x88x41 cm,5.86,Asia,DISCOUNT5,Credit Card,Charlie Johnson,Germany,charlie.johnson@test.org,555-246-4124
536722,22111,SCANDINAVIAN REDS RIBBONS,10,12/01/2010 14:52,,11903,United Kingdom,Charlie Jones,charlie.jones@test.org,594 Market St,555-754-8232,Home & Garden,Supplier A,526,43.42,In-Store,Not Returned,8.79,58x31x23 cm,5.62,Europe,SALE15,PayPal,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536496,22112,CHOCOLATE HOT WATER BOTTLE,10,12/01/2010 11:06,3.39,11903,Germany,Charlie Jones,charlie.jones@example.com,594 Market St,555-930-6109,Beauty,Supplier D,322,28.4,Online,Not Returned,0.4,1x3x77 cm,14.16,North America,DISCOUNT5,PayPal,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536601,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 12:51,2.55,11903,United Kingdom,Charlie Jones,charlie.jones@mail.com,450 Ash St,555-584-6178,Home & Garden,Supplier A,5,20.04,Online,Returned,3.3,31x24x99 cm,5.27,North America,PROMO10,PayPal,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536399,21754,HOME BUILDING BLOCK WORD,3,12/01/2010 09:29,5.95,11903,Denmark,Jane Miller,jane.miller@mail.com,450 Ash St,555-258-4223,Home & Garden,Supplier A,291,6.48,Online,Not Returned,3.02,57x67x88 cm,7.51,Asia,SALE15,Cash,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536393,22111,SCANDINAVIAN REDS RIBBONS,10,12/01/2010 09:23,1.65,11903,Germany,Charlie Jones,charlie.jones@mail.com,815 Maple St,555-258-4223,Home & Garden,Supplier A,470,35.95,Online,Not Returned,8.79,58x31x23 cm,5.62,Europe,SALE15,Cash,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536643,21755,LOVE BUILDING BLOCK WORD,3,12/01/2010 13:33,5.95,11903,Germany,Charlie Jones,charlie.jones@demo.net,815 Maple St,555-458-8368,Home & Garden,Supplier A,377,12.32,Online,Not Returned,8.46,70x88x33 cm,5.09,North America,PROMO10,Credit Card,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536422,22748,POPPYS PLAYHOUSE KITCHEN,6,12/01/2010 09:52,2.1,11903,Denmark,Charlie Jones,charlie.jones@mail.com,547 Main St,555-916-4004,Toys,Supplier B,145,43.36,Online,Returned,5.13,62x94x95 cm,5.9,North America,PROMO10,Gift Card,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536399,21754,HOME BUILDING BLOCK WORD,3,12/01/2010 09:29,5.95,11903,United Kingdom,Charlie Jones,charlie.jones@example.com,883 Elm St,555-987-4845,Home & Garden,Supplier A,520,4.27,In-Store,Not Returned,3.02,57x67x88 cm,7.51,Asia,SALE15,Cash,Charlie Jones,Germany,charlie.jones@mail.com,555-258-4223
536729,84029E,RED WOOLLY HOTTIE WHITE HEART,6,12/01/2010 14:59,3.39,11818,United Kingdom,Charlie Miller,charlie.miller@demo.net,883 Elm St,555-806-3896,Beauty,Supplier D,97,48.15,Online,Not Returned,6.41,5x33x65 cm,5.87,North America,DISCOUNT5,PayPal,Charlie Miller,United Kingdom,charlie.miller@demo.net,555-616-2796
536738,22310,IVORY KNITTED MUG COSY,6,12/01/2010 15:08,1.65,11818,United Kingdom,Charlie Miller,charlie.miller@mail.com,390 Broadway,555-616-2796,Home & Garden,Supplier A,360,25.11,Online,Returned,3.46,38x51x63 cm,6.97,Australia,DISCOUNT5,Bank Transfer,Charlie Miller,United Kingdom,charlie.miller@demo.net,555-616-2796
536557,22960,JAM MAKING SET WITH JARS,6,12/01/2010 12:07,4.25,11818,Germany,Charlie Miller,charlie.miller@test.org,815 Maple St,555-830-5263,Home & Garden,Supplier A,623,13.43,Online,Returned,6.46,21x80x85 cm,5.15,Asia,PROMO10,Bank Transfer,Charlie Miller,United Kingdom,charlie.miller@demo.net,555-616-2796
536448,22634,BAKING SET 9 PIECE RETROSPOT,6,12/01/2010 10:18,4.95,11818,United Kingdom,Charlie Miller,charlie.miller@demo.net,921 Cedar St,555-893-5124,Home & Garden,Supplier A,508,16.67,Online,Not Returned,5.73,39x46x29 cm,5.46,Australia,PROMO10,Bank Transfer,Charlie Miller,United Kingdom,charlie.miller@demo.net,555-616-2796
536717,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/01/2010 14:47,1.65,15178,United Kingdom,Charlie Moore,charlie.moore@example.com,253 High St,555-756-4676,Home & Garden,Supplier A,993,32.92,Online,Returned,1.0,95x49x69 cm,7.55,Europe,SALE15,Cash,Charlie Moore,United Kingdom,charlie.moore@demo.net,555-684-5494
536641,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/01/2010 13:31,9.95,15178,United Kingdom,Charlie Moore,charlie.moore@demo.net,883 Elm St,555-684-5494,Toys,Supplier B,563,6.23,Online,Returned,9.37,20x5x37 cm,8.56,Australia,SALE15,Cash,Charlie Moore,United Kingdom,charlie.moore@demo.net,555-684-5494
536552,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 12:02,2.55,15941,Germany,John Smith,john.smith@test.org,253 High St,555-637-9238,Home & Garden,Supplier A,425,13.11,In-Store,Returned,3.3,31x24x99 cm,5.27,Australia,PROMO10,Bank Transfer,Charlie Smith,United Kingdom,charlie.smith@demo.net,555-172-3343
536428,21754,HOME BUILDING BLOCK WORD,3,12/01/2010 09:58,5.95,15941,United Kingdom,Charlie Smith,charlie.smith@test.org,883 Elm St,555-893-5124,Home & Garden,Supplier A,719,40.87,Online,Returned,3.02,57x67x88 cm,7.51,Europe,SALE15,Credit Card,Charlie Smith,United Kingdom,charlie.smith@demo.net,555-172-3343
536552,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-6,12/01/2010 12:02,2.55,15941,Denmark,Charlie Smith,charlie.smith@demo.net,594 Market St,555-172-3343,Home & Garden,Supplier A,320,37.91,Online,Returned,3.3,31x24x99 cm,5.27,Australia,PROMO10,Bank Transfer,Charlie Smith,United Kingdom,charlie.smith@demo.net,555-172-3343
536575,22748,POPPYS PLAYHOUSE KITCHEN,6,12/01/2010 12:25,2.1,15941,United Kingdom,Charlie Smith,charlie.smith@demo.net,815 Maple St,555-663-6690,Toys,Supplier B,249,32.64,Online,Not Returned,5.13,62x94x95 cm,5.9,North America,PROMO10,Bank Transfer,Charlie Smith,United Kingdom,charlie.smith@demo.net,555-172-3343
536648,22634,BAKING SET 9 PIECE RETROSPOT,6,12/01/2010 13:38,4.95,18560,United Kingdom,Charlie Taylor,charlie.taylor@example.com,253 High St,555-610-1281,Home & Garden,Supplier A,864,44.9,Online,Returned,5.73,39x46x29 cm,5.46,Europe,PROMO10,Bank Transfer,Charlie Taylor,Denmark,charlie.taylor@example.com,555-610-1281
536502,71053,WHITE METAL LANTERN,6,12/01/2010 11:12,3.39,18560,Denmark,Charlie Taylor,charlie.taylor@demo.net,253 High St,555-906-8486,Home & Garden,Supplier A,159,48.44,Online,Not Returned,6.36,77x81x40 cm,5.11,Europe,DISCOUNT5,PayPal,Charlie Taylor,Denmark,charlie.taylor@example.com,555-610-1281
536709,22634,BAKING SET 9 PIECE RETROSPOT,6,12/01/2010 14:39,4.95,18560,Germany,Charlie Taylor,charlie.taylor@example.com,815 Maple St,555-915-2177,Home & Garden,Supplier A,845,38.41,In-Store,Returned,5.73,39x46x29 cm,5.46,Australia,PROMO10,Credit Card,Charlie Taylor,Denmark,charlie.taylor@example.com,555-610-1281
536742,21754,HOME BUILDING BLOCK WORD,3,12/01/2010 15:12,5.95,15634,Denmark,Charlie Williams,charlie.williams@demo.net,390 Broadway,555-212-6797,Home & Garden,Supplier A,517,3.37,In-Store,Returned,3.02,57x67x88 cm,7.51,Europe,SALE15,Cash,Charlie Williams,Denmark,charlie.williams@demo.net,555-212-6797
536532,22633,HAND WARMER UNION JACK,6,12/01/2010 11:42,1.85,15634,Germany,Charlie Williams,charlie.williams@demo.net,547 Main St,555-258-4223,Clothing,Supplier C,474,29.87,In-Store,Not Returned,1.79,27x63x17 cm,5.07,Australia,SALE15,PayPal,Charlie Williams,Denmark,charlie.williams@demo.net,555-212-6797
536724,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/01/2010 14:54,2.95,16160,Denmark,Charlie Wilson,charlie.wilson@demo.net,921 Cedar St,555-623-6390,Clothing,Supplier C,168,49.39,In-Store,Returned,1.31,45x17x26 cm,6.22,South America,PROMO10,Gift Card,Charlie Wilson,Denmark,charlie.wilson@example.com,555-102-2165
536524,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/01/2010 11:34,2.95,16160,United Kingdom,Charlie Wilson,charlie.wilson@test.org,547 Main St,555-826-5223,Clothing,Supplier C,838,13.54,In-Store,Returned,1.31,45x17x26 cm,6.22,Asia,PROMO10,Gift Card,Charlie Wilson,Denmark,charlie.wilson@example.com,555-102-2165
536469,22752,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 10:39,7.65,16160,Denmark,Charlie Wilson,charlie.wilson@example.com,815 Maple St,555-785-4633,Toys,Supplier B,422,33.9,Online,Not Returned,1.25,9x48x72 cm,5.6,Australia,PROMO10,Cash,Charlie Wilson,Denmark,charlie.wilson@example.com,555-102-2165
